x,y,z,sx,sy,txy
0.0,0.0,0.0,98.5579189165678,29.56737567497034,11.45165340219903
0.0,1.0,0.0,-98.55791891659666,-29.567375674978994,11.451653402204883
15.0,0.0,0.0,0.14475957089996339,-0.7977720365753174,0.5113323543548584
15.0,1.0,0.0,-0.1447595708847046,0.7977720365600586,0.511332354347229
0.0,0.5,0.0,-1.1403057326348193e-11,-3.420917197904458e-12,-3.17102506771615
0.5,0.0,0.0,86.5581801787471,1.9202403911822141,-1.3197552820424474
1.0,0.0,0.0,84.14345864313782,0.28192362068009374,0.19447392361709476
1.5,0.0,0.0,81.01982649945235,0.0344829295924902,0.2904565483081043
2.0,0.0,0.0,78.00242653209114,0.004117723310470581,0.30240781765687463
2.5,0.0,0.0,75.00032826065886,0.0004905243077278137,0.3038593587177992
3.0,0.0,0.0,72.00007671906329,5.842524099349976e-5,0.3040327928534746
3.5,0.0,0.0,69.00004518548846,6.958930015563965e-6,0.3040534574334621
4.0,0.0,0.0,66.00003985321379,8.28866958618164e-7,0.304055918823719
4.5,0.0,0.0,63.0000376416502,9.872245788574219e-8,0.3040562119932175
5.0,0.0,0.0,60.000035801779745,1.17645263671875e-8,0.30405624691963196
5.5,0.0,0.0,57.00003400615597,1.4019012451171875e-9,0.3040562510762215
6.0,0.0,0.0,54.000032215810776,1.64031982421875e-10,0.3040562515721321
6.5,0.0,0.0,51.00003042608833,1.71661376953125e-11,0.3040562516307831
7.0,0.0,0.0,48.00002863643074,5.7220458984375e-12,0.3040562516365051
7.5,0.0,0.0,45.000026846767426,-1.1444091796875e-11,0.30405625163936617
8.0,0.0,0.0,42.000025057088855,7.62939453125e-12,0.30405625164699557
8.5,0.0,0.0,39.000023267416,7.62939453125e-12,0.3040562516441345
9.0,0.0,0.0,36.000021477716444,3.814697265625e-12,0.3040562516517639
9.5,0.0,0.0,33.00001968796539,1.52587890625e-11,0.3040562516536713
10.0,0.0,0.0,30.00001789809799,-7.62939453125e-11,0.30405625162696837
10.5,0.0,0.0,27.000016107866287,-7.66754150390625e-10,0.304056251335144
11.0,0.0,0.0,24.00001431461525,-6.6986083984375e-9,0.30405624897003175
11.5,0.0,0.0,21.000012496110916,-5.62286376953125e-8,0.30405622908973695
12.0,0.0,0.0,18.000010465906144,-4.7206878662109375e-7,0.3040560621452332
12.5,0.0,0.0,15.000006657928466,-3.963226318359375e-6,0.30405466389656066
13.0,0.0,0.0,11.99998805597496,-3.3214744567871094e-5,0.3040431045188904
13.5,0.0,0.0,8.999860662569047,-0.00027346994018554685,0.30395044342803956
14.0,0.0,0.0,5.999982955533981,-0.001961775291442871,0.30275702223205564
14.5,0.0,0.0,3.0608445863723754,-0.004641613174438477,0.22011158088302613
15.0,0.5,0.0,7.62939453125e-12,7.62939453125e-12,1.6171369104499818
0.5,1.0,0.0,-86.55818017876841,-1.920240391182378,-1.3197552820430472
1.0,1.0,0.0,-84.14345864316115,-0.28192362068015336,0.19447392361721397
1.5,1.0,0.0,-81.01982649947601,-0.03448292959332466,0.2904565483081937
2.0,1.0,0.0,-78.00242653211463,-0.004117723310947418,0.30240781765753033
2.5,1.0,0.0,-75.0003282606833,-0.0004905243096351623,0.3038593587177992
3.0,1.0,0.0,-72.00007671908986,-5.842524242401123e-5,0.30403279285430906
3.5,1.0,0.0,-69.00004518551087,-6.958930015563965e-6,0.30405345743370055
4.0,1.0,0.0,-66.00003985324264,-8.288717269897461e-7,0.3040559188234806
4.5,1.0,0.0,-63.000037641680244,-9.873390197753906e-8,0.30405621199703214
5.0,1.0,0.0,-60.00003580180407,-1.17645263671875e-8,0.30405624691820143
5.5,1.0,0.0,-57.00003400618839,-1.4057159423828125e-9,0.3040562510762215
6.0,1.0,0.0,-54.000032215839866,-1.7547607421875e-10,0.30405625157642363
6.5,1.0,0.0,-51.00003042612648,-4.00543212890625e-11,0.30405625163555144
7.0,1.0,0.0,-48.00002863646316,-1.1444091796875e-11,0.3040562516403198
7.5,1.0,0.0,-45.000026846803664,-1.1444091796875e-11,0.3040562516412735
8.0,1.0,0.0,-42.000025057132724,-1.1444091796875e-11,0.3040562516479492
8.5,1.0,0.0,-39.00002326745224,-1.52587890625e-11,0.3040562516384125
9.0,1.0,0.0,-36.000021477748874,-1.9073486328125e-11,0.3040562516489029
9.5,1.0,0.0,-33.00001968799591,-1.9073486328125e-11,0.30405625164985656
10.0,1.0,0.0,-30.000017898118973,6.103515625e-11,0.3040562516307831
10.5,1.0,0.0,-27.000016107879638,7.66754150390625e-10,0.3040562513332367
11.0,1.0,0.0,-24.000014314619065,6.69097900390625e-9,0.30405624897003175
11.5,1.0,0.0,-21.000012496124267,5.61981201171875e-8,0.3040562290859222
12.0,1.0,0.0,-18.00001046587944,4.720916748046875e-7,0.30405606215286257
12.5,1.0,0.0,-15.000006657934188,3.963264465332031e-6,0.3040546639022827
13.0,1.0,0.0,-11.999988056022644,3.321467590332031e-5,0.30404310452842714
13.5,1.0,0.0,-8.999860662553788,0.00027346994018554685,0.30395044342803956
